Start Time,Game,Players,Duration
"2020-01-05 16:30","Pre-Show","Tech Crew","0:20:00"
"2020-01-05 17:00","A Hat in Time","flarebear, Enhu","0:47:00"
"2020-01-05 17:57","Metroid: Zero Mission","JRP2234","0:42:00"
"2020-01-05 18:49","Mega Man 7","PJ","0:50:00"
"2020-01-05 19:49","Ratchet &amp; Clank Future: Tools of Destruction","KillaLombax","1:05:00"
"2020-01-05 21:04","Star Wars - Escape from Yavin 4: The Lost Maps","CovertMuffin","0:42:00"
"2020-01-05 21:56","The Binding Of Isaac Afterbirth+","StoneAgeMarcus","1:20:00"
"2020-01-05 23:36","Super Mario Bros. 3","TheHaxor, mitchflowerpower, stewie_cartman","1:14:00"
"2020-01-06 01:00","The Legend of Zelda: Skyward Sword","gymnast86","2:30:00"
"2020-01-06 03:40","Dino Crisis 2","WOLFDNC","1:25:00"
"2020-01-06 05:15","realMyst: Masterpiece Edition","Gelly","0:16:00"
"2020-01-06 05:41","Riven: The Sequel to Myst","Zaustus","0:10:00"
"2020-01-06 06:01","Myst III: Exile","Admiral Flapjack","0:16:00"
"2020-01-06 06:27","Bomberman Hero","Liquid Squid","0:55:00"
"2020-01-06 07:32","Chameleon Twist 2","Necrocopter","0:33:00"
"2020-01-06 08:15","Razor Freestyle Scooter","tapioca","0:13:00"
"2020-01-06 08:38","Tetrisphere","FFR Pro 21","0:40:00"
"2020-01-06 09:28","Mario &amp; Luigi: Superstar Saga","Sjorec, murmilio","2:45:00"
"2020-01-06 12:23","Skyblazer","Omnigamer","0:28:00"
"2020-01-06 13:06","The Legend of the Mystical Ninja","KLM1187, Teleo1","0:38:00"
"2020-01-06 13:59","ActRaiser","metroidmcfly, sYn","0:27:00"
"2020-01-06 14:36","The Great Circus Mystery Starring Mickey &amp; Minnie","KingRhodesTn","0:25:00"
"2020-01-06 15:11","Battletoads &amp; Double Dragon","colin","0:26:00"
"2020-01-06 15:47","Donkey Kong Country 3","V0oid","2:00:00"
"2020-01-06 17:57","Sonic Colours","CriticalCyd","0:55:00"
"2020-01-06 19:12","Sonic CD (2011)","Sonikkustar, flying fox, Finalflame","0:25:00"
"2020-01-06 19:52","Sonic 3 &amp; Knuckles","Zaxon96, Joeybaby69","0:43:00"
"2020-01-06 20:45","Bonus Game 1","Bonus Runner","1:00:00"
"2020-01-06 21:55","Fallout Anthology","tomatoangus","2:05:00"
"2020-01-07 00:10","Doom: SIGIL","KingDime","0:17:00"
"2020-01-07 00:37","AMID EVIL","Psych0sis","0:35:00"
"2020-01-07 01:22","DOOM (2016)","ByteMe","2:45:00"
"2020-01-07 04:17","Bayonetta 2","Kap","1:50:00"
"2020-01-07 06:17","Grand Theft Auto: San Andreas","Reset","4:10:00"
"2020-01-07 10:37","Tron: Evolution","berlindude1","1:26:00"
"2020-01-07 12:13","Eagle Island","MrDino023","1:05:00"
"2020-01-07 13:28","The Mummy Demastered","codepiece","0:33:00"
"2020-01-07 14:11","Hotline Miami","Snowfats","0:26:00"
"2020-01-07 14:47","Chippy","Scrublord","0:30:00"
"2020-01-07 15:27","Crowtel Renovations","theboyks","0:12:00"
"2020-01-07 15:49","Battletoads Super Gameboy","WizWarioo","0:11:00"
"2020-01-07 16:10","Adventures of Lolo","rayeo","0:25:00"
"2020-01-07 16:45","Adventure Island II","TheMexicanRunner","0:30:00"
"2020-01-07 17:25","Hebereke","adef","0:29:00"
"2020-01-07 18:09","Ninja Gaiden II: The Dark Sword of Chaos","jimmypoopins, becored","0:15:00"
"2020-01-07 18:34","Super Castlevania IV","JoeDamillio","0:45:00"
"2020-01-07 19:29","Pokemon Sapphire","Gunnermaniac","2:10:00"
"2020-01-07 21:49","Bonus Game 2","Bonus Runner","0:35:00"
"2020-01-07 22:34","Terraria","tvgBadger","1:00:00"
"2020-01-07 23:54","The Legend of Zelda series","Pro_JN, BluntBunny, Cantaloupeme, TGH, ChristosOwen, JSR_, Rezovayix, rcdrone, JoshRTA, Greenmario, justinman114","3:30:00"
"2020-01-08 03:34","Final Fantasy VIII","Tojju, Muttski, Luzbelheim","8:45:00"
"2020-01-08 12:29","Vectorman 2","Winslinator","0:14:00"
"2020-01-08 12:53","Shadow Dancer","Cypherin","0:15:00"
"2020-01-08 13:18","Shinobi III: Return of the Ninja Master","Faust4712","0:32:00"
"2020-01-08 14:00","Mystic Defender","Zaxon96","0:13:00"
"2020-01-08 14:28","Ghouls &#039;n Ghosts","Aquas, dosboxfalco","0:25:00"
"2020-01-08 15:03","Garfield: Caught in the Act","janglestorm","0:33:00"
"2020-01-08 15:46","Contra: Hard Corps","NickBGoHard","0:26:00"
"2020-01-08 16:22","Contra ReBirth","WhiteHat94","0:16:00"
"2020-01-08 16:48","Blazing Chrome","ThePoloKing","0:34:00"
"2020-01-08 17:32","Cybernator","Elpis","0:20:00"
"2020-01-08 18:02","Super Monkey Ball","Helix","0:30:00"
"2020-01-08 18:42","Teenage Mutant Ninja Turtles (arcade)","LRock617","0:20:00"
"2020-01-08 19:12","Mushihimesama Futari 1.01","gusto","0:35:00"
"2020-01-08 19:57","Metal Gear Solid 3: Snake Eater","RaichuMGS","1:18:00"
"2020-01-08 21:25","The Legend of Zelda: Ocarina of Time","ZFG","3:05:00"
"2020-01-09 00:45","Cadence of Hyrule","SpootyBiscuit, Goof","0:28:00"
"2020-01-09 01:33","Mega Man 4-6","ohon, becored, PJ , DarkTerrex, Ppotdot1, ColonelFatso, prisi, darkman78, FeralPigMan, Resistingframe, MadMegaX381, Sagehero, lookintoad, Notriley4","2:05:00"
"2020-01-09 03:48","Bonus Game 3","Bonus Runner","0:50:00"
"2020-01-09 04:48","Super Hydlide","Mike Uyama","1:00:00"
"2020-01-09 05:58","Hoshi wo Miru Hito","dowolf","0:50:00"
"2020-01-09 06:58","Sword of the Black Stone","authorblues","0:15:00"
"2020-01-09 07:23","Castle of Dragon","Apollo22237","0:12:00"
"2020-01-09 07:50","Wild Animal Sports Day","Zic3, Bullets, SNeaky, Scrublord","0:08:00"
"2020-01-09 08:08","The Adventures of Rocky and Bullwinkle and Friends","coolkid","0:08:00"
"2020-01-09 08:26","Jurassic Park III: Dino Defender","Winslinator","0:17:00"
"2020-01-09 08:53","Cybergenic Ranger: Secret of the Seventh Planet","NPC","0:26:00"
"2020-01-09 09:29","Mega Man 3 (DOS)","Lizstar","0:22:00"
"2020-01-09 10:01","Miracle Ropit&#039;s Adventure in 2100","Smartball","0:14:00"
"2020-01-09 10:30","Barbie","sharif, cajink87","0:16:00"
"2020-01-09 10:56","Normy&#039;s BeachBabe-O-Rama","cook","0:20:00"
"2020-01-09 11:26","Doctor Hauzer","PeteDorr","0:20:00"
"2020-01-09 11:56","Nightcry","Ecdycis","0:52:00"
"2020-01-09 12:58","Fatal Frame","Maxylobes","1:20:00"
"2020-01-09 14:28","Resident Evil 4","MikeWave","1:34:00"
"2020-01-09 16:12","The Last of Us: Left Behind","AnthonyCaliber","0:07:00"
"2020-01-09 16:34","Jak 2","headstrong1290, sickynar","1:05:00"
"2020-01-09 17:49","Marvel&#039;s Spider-Man","Pessilist","0:54:00"
"2020-01-09 18:53","Earth Defense Force 5","halfcoordinated","1:08:00"
"2020-01-09 20:11","Devil May Cry 5","DECosmic","2:15:00"
"2020-01-09 22:36","Fire Emblem: Three Houses","Claris","1:45:00"
"2020-01-10 00:31","Bonus Game 4","Bonus Runner","0:35:00"
"2020-01-10 01:46","Destiny 2","Shockwve, ThePackle, Milkman, Tokeegee, Traderkirk, Alexy Sinclair","0:35:00"
"2020-01-10 02:41","BioShock","bloodthunder","0:55:00"
"2020-01-10 03:51","Wolfenstein: Youngblood","TheFuncannon, Bryonato","1:10:00"
"2020-01-10 05:11","Subnautica","salvner","1:05:00"
"2020-01-10 06:26","The Talos Principle","Azorae","0:45:00"
"2020-01-10 07:21","The Sun And Moon","Gyoo","0:17:00"
"2020-01-10 07:48","140","v_input_output","0:30:00"
"2020-01-10 08:28","Squidlit","nucular","0:10:00"
"2020-01-10 08:48","Action Henk","badBlackShark","0:35:00"
"2020-01-10 09:33","Super Fancy Pants Adventure","EyeOf_Newt","0:25:00"
"2020-01-10 10:08","Vampire: The Masquerade - Bloodlines","Valvinraim","0:45:00"
"2020-01-10 11:13","Gato Roboto","RiskyCB, SNeaky, shedd","0:26:00"
"2020-01-10 11:49","Darkened Skye","Lizstar","0:50:00"
"2020-01-10 12:49","Touhou Luna Nights","Sean_A","0:40:00"
"2020-01-10 13:39","VVVVVV","mohoc","0:22:00"
"2020-01-10 14:11","PAC-MAN Championship Edition DX+","teapartycthulu","0:40:00"
"2020-01-10 15:01","Pac-Man Arrangement","Joester98","0:11:00"
"2020-01-10 15:22","Pokemon X/Y","wartab","4:10:00"
"2020-01-10 19:42","Mega Man X4","Qttsix","0:45:00"
"2020-01-10 20:37","Mega Man X","Tokyo90, darrenville, Clipper1, Soppanaama","0:40:00"
"2020-01-10 21:27","The Legend of Zelda: The Wind Waker","CLG Linkus7","1:35:00"
"2020-01-10 23:21","TASBot plays Super Mario Bros. 3","dwangoAC, TASBot, TiKevin83","0:10:00"
"2020-01-10 23:46","TASBot plays Super Mario Bros. 2","dwangoAC, TASBot, TiKevin83","0:18:00"
"2020-01-11 00:19","Bonus Game 5","Bonus Runner","0:10:00"
"2020-01-11 00:54","Super Mario 64 Randomizer","Puncayshun, 360Chrism, Simply, cheese","1:10:00"
"2020-01-11 02:19","Super Mario World","authorblues, LackAttack24","0:20:00"
"2020-01-11 02:49","Dark Souls","Regole","0:45:00"
"2020-01-11 03:44","Trauma Center New Blood","Thurler","2:50:00"
"2020-01-11 06:44","Tony Hawk&#039;s Project 8","ThePackle","0:50:00"
"2020-01-11 07:44","Jumping Flash!","Joester98","0:23:00"
